reclat,reclon,
42.95402,-78.82287,
42.95402,-78.82287,
42.95402,-78.82286,
42.95402,-78.82286,
42.95402,-78.82287,
42.95402,-78.82287,
42.954,-78.82284,
42.954,-78.82284,
42.95401,-78.82285,
42.954,-78.82286,
42.95399,-78.82286,
42.95399,-78.82286,
42.95399,-78.82287,
42.95398,-78.82287,
42.95398,-78.82288,
42.95398,-78.82289,
42.95397,-78.8229,
42.95397,-78.82291,
42.95397,-78.82293,
42.95397,-78.82294,
42.95397,-78.82295,
42.95396,-78.82296,
42.95395,-78.82297,
42.95393,-78.82299,
42.95392,-78.823,
42.95392,-78.82301,
42.9539,-78.82302,
42.95389,-78.82304,
42.95388,-78.82304,
42.95387,-78.82305,
42.95386,-78.82307,
42.95385,-78.82308,
42.95384,-78.82309,
42.95383,-78.8231,
42.95382,-78.82311,
42.95381,-78.82312,
42.9538,-78.82313,
42.95379,-78.82313,
42.95378,-78.82314,
42.95378,-78.82315,
42.95377,-78.82315,
42.95377,-78.82316,
42.95376,-78.82317,
42.95375,-78.82318,
42.95374,-78.82319,
42.95373,-78.8232,
42.95372,-78.82322,
42.95371,-78.82323,
42.9537,-78.82324,
42.95369,-78.82325,
42.95368,-78.82327,
42.95367,-78.82327,
42.95367,-78.82328,
42.95366,-78.8233,
42.95365,-78.82331,
42.95365,-78.82333,
42.95364,-78.82334,
42.95363,-78.82336,
42.95363,-78.82339,
42.95362,-78.8234,
42.95361,-78.82342,
42.9536,-78.82343,
42.95359,-78.82345,
42.95358,-78.82346,
42.95356,-78.82348,
42.95355,-78.82349,
42.95354,-78.8235,
42.95353,-78.82352,
42.95352,-78.82353,
42.95351,-78.82354,
42.95351,-78.82355,
42.9535,-78.82355,
42.9535,-78.82355,
42.95349,-78.82357,
42.95347,-78.82358,
42.95346,-78.82361,
42.95345,-78.82362,
42.95344,-78.82363,
42.95343,-78.82365,
42.95342,-78.82366,
42.95341,-78.82367,
42.9534,-78.82368,
42.9534,-78.82369,
42.95339,-78.8237,
42.95338,-78.82371,
42.95337,-78.82372,
42.95336,-78.82373,
42.95336,-78.82374,
42.95335,-78.82375,
42.95334,-78.82376,
42.95334,-78.82377,
42.95334,-78.82379,
42.95333,-78.8238,
42.95333,-78.82381,
42.95332,-78.82382,
42.95331,-78.82383,
42.9533,-78.82384,
42.95329,-78.82386,
42.95327,-78.82387,
42.95326,-78.82388,
42.95325,-78.82388,
42.95324,-78.82389,
42.95323,-78.8239,
42.95323,-78.82389,
42.95322,-78.82388,
42.95323,-78.82388,
42.95322,-78.82388,
42.95322,-78.82388,
42.95322,-78.82389,
42.95323,-78.82389,
42.95323,-78.8239,
42.95324,-78.82392,
42.95325,-78.82393,
42.95325,-78.82395,
42.95325,-78.82397,
42.95326,-78.82398,
42.95326,-78.824,
42.95327,-78.82402,
42.95328,-78.82403,
42.95329,-78.82404,
42.95329,-78.82405,
42.95329,-78.82407,
42.9533,-78.82408,
42.9533,-78.82409,
42.9533,-78.82411,
42.9533,-78.82412,
42.95331,-78.82414,
42.95331,-78.82415,
42.95331,-78.82417,
42.95331,-78.82419,
42.95332,-78.82421,
42.95332,-78.82422,
42.95333,-78.82424,
42.95334,-78.82425,
42.95334,-78.82426,
42.95335,-78.82428,
42.95336,-78.82429,
42.95336,-78.8243,
42.95336,-78.82432,
42.95337,-78.82433,
42.95338,-78.82434,
42.95339,-78.82436,
42.95339,-78.82437,
42.9534,-78.82439,
42.95341,-78.82439,
42.95341,-78.8244,
42.95342,-78.82441,
42.95343,-78.82443,
42.95343,-78.82444,
42.95344,-78.82445,
42.95345,-78.82447,
42.95345,-78.82448,
42.95346,-78.8245,
42.95347,-78.82452,
42.95347,-78.82453,
42.95348,-78.82455,
42.95348,-78.82457,
42.95349,-78.82458,
42.95349,-78.8246,
42.95349,-78.82461,
42.95349,-78.82462,
42.9535,-78.82464,
42.9535,-78.82466,
42.95351,-78.82467,
42.95352,-78.82469,
42.95353,-78.8247,
42.95354,-78.8247,
42.95354,-78.82471,
42.95355,-78.82473,
42.95356,-78.82475,
42.95356,-78.82476,
42.95357,-78.82478,
42.95357,-78.82479,
42.95358,-78.8248,
42.95358,-78.82482,
42.95359,-78.82484,
42.9536,-78.82485,
42.95361,-78.82487,
42.95361,-78.82487,
42.95361,-78.82488,
42.95361,-78.82488,
42.95362,-78.82488,
42.95362,-78.82488,
42.95362,-78.82488,
42.95363,-78.82488,
42.95363,-78.82489,
42.95364,-78.82489,
42.95365,-78.8249,
42.95366,-78.82491,
42.95367,-78.82492,
42.95367,-78.82494,
42.95368,-78.82496,
42.95368,-78.82498,
42.95369,-78.825,
42.95369,-78.82501,
42.9537,-78.82502,
42.95371,-78.82503,
42.95371,-78.82505,
42.95371,-78.82507,
42.95372,-78.82507,
42.95372,-78.82509,
42.95373,-78.82511,
42.95374,-78.82512,
42.95374,-78.82514,
42.95375,-78.82516,
42.95376,-78.82517,
42.95377,-78.82519,
42.95378,-78.8252,
42.95378,-78.82521,
42.95379,-78.82522,
42.95379,-78.82523,
42.9538,-78.82523,
42.9538,-78.82524,
42.95381,-78.82526,
42.95381,-78.82527,
42.95382,-78.82528,
42.95383,-78.82529,
42.95384,-78.82531,
42.95385,-78.82532,
42.95386,-78.82533,
42.95387,-78.82535,
42.95388,-78.82536,
42.95389,-78.82537,
42.9539,-78.82539,
42.9539,-78.82541,
42.95391,-78.82543,
42.95391,-78.82545,
42.95392,-78.82547,
42.95393,-78.82548,
42.95394,-78.8255,
42.95395,-78.82551,
42.95396,-78.82552,
42.95396,-78.82553,
42.95397,-78.82555,
42.95398,-78.82556,
42.95398,-78.82557,
42.95398,-78.82558,
42.95399,-78.82558,
42.95399,-78.82559,
42.95399,-78.8256,
42.95399,-78.82561,
42.954,-78.82562,
42.95401,-78.82563,
42.95401,-78.82564,
42.95401,-78.82566,
42.95402,-78.82568,
42.95402,-78.82569,
42.95403,-78.82571,
42.95404,-78.82573,
42.95405,-78.82576,
42.95407,-78.82579,
42.95408,-78.82582,
42.95409,-78.82585,
42.9541,-78.82587,
42.95411,-78.82589,
42.95412,-78.82589,
42.95412,-78.82589,
42.95413,-78.82589,
42.95414,-78.82589,
42.95414,-78.8259,
42.95414,-78.8259,
42.95415,-78.82591,
42.95416,-78.82592,
42.95416,-78.82593,
42.95416,-78.82595,
42.95417,-78.82596,
42.95417,-78.82598,
42.95418,-78.826,
42.95419,-78.82602,
42.95419,-78.82604,
42.9542,-78.82606,
42.95421,-78.82607,
42.95422,-78.82608,
42.95422,-78.82609,
42.95423,-78.8261,
42.95423,-78.82612,
42.95423,-78.82613,
42.95423,-78.82615,
42.95423,-78.82616,
42.95424,-78.82617,
42.95424,-78.82618,
42.95425,-78.82619,
42.95426,-78.82621,
42.95426,-78.82623,
42.95427,-78.82625,
42.95427,-78.82627,
42.95428,-78.82628,
42.95428,-78.8263,
42.95428,-78.82631,
42.95429,-78.82633,
42.95429,-78.82635,
42.9543,-78.82637,
42.9543,-78.82639,
42.95432,-78.82641,
42.95434,-78.82643,
42.95435,-78.82644,
42.95437,-78.82644,
42.95438,-78.82644,
42.95439,-78.82644,
42.95439,-78.82643,
42.95439,-78.82643,
42.95439,-78.82643,
42.95439,-78.82643,
42.95439,-78.82643,
42.95439,-78.82642,
42.95439,-78.82642,
42.9544,-78.82641,
42.9544,-78.82641,
42.9544,-78.82641,
42.95441,-78.8264,
42.95442,-78.8264,
42.95442,-78.8264,
42.95443,-78.8264,
42.95443,-78.8264,
42.95443,-78.8264,
42.95444,-78.82638,
42.95445,-78.82637,
42.95446,-78.82637,
42.95446,-78.82636,
42.95447,-78.82634,
42.95448,-78.82633,
42.9545,-78.82632,
42.95451,-78.82632,
42.95452,-78.82631,
42.95453,-78.82631,
42.95454,-78.8263,
42.95455,-78.82628,
42.95458,-78.82626,
42.95459,-78.82625,
42.9546,-78.82624,
42.95461,-78.82623,
42.95462,-78.82622,
42.95463,-78.82621,
42.95464,-78.82621,
42.95464,-78.8262,
42.95464,-78.82619,
42.95464,-78.82618,
42.95464,-78.82617,
42.95465,-78.82616,
42.95466,-78.82615,
42.95467,-78.82615,
42.95468,-78.82615,
42.95468,-78.82614,
42.95469,-78.82613,
42.9547,-78.82613,
42.9547,-78.82613,
42.95472,-78.82612,
42.95473,-78.82612,
42.95474,-78.82612,
42.95475,-78.82612,
42.95476,-78.82612,
42.95477,-78.82612,
42.95478,-78.82613,
42.95479,-78.82613,
42.9548,-78.82614,
42.95481,-78.82614,
42.95481,-78.82615,
42.95482,-78.82616,
42.95483,-78.82617,
42.95483,-78.82618,
42.95483,-78.82618,
42.95484,-78.82619,
42.95486,-78.8262,
42.95488,-78.82621,
42.95489,-78.82622,
42.9549,-78.82623,
42.95491,-78.82624,
42.95492,-78.82625,
42.95493,-78.82626,
42.95493,-78.82627,
42.95494,-78.82628,
42.95495,-78.82629,
42.95495,-78.8263,
42.95495,-78.8263,
42.95495,-78.8263,
42.95495,-78.8263,
42.95494,-78.8263,
42.95494,-78.8263,
42.95494,-78.8263,
42.95495,-78.82631,
42.95496,-78.82632,
42.95497,-78.82633,
42.95498,-78.82634,
42.95499,-78.82636,
42.955,-78.82637,
42.95501,-78.82639,
42.95502,-78.82641,
42.95502,-78.82643,
42.95502,-78.82644,
42.95502,-78.82646,
42.95503,-78.82647,
42.95503,-78.82648,
42.95504,-78.82649,
42.95506,-78.8265,
42.95506,-78.82652,
42.95507,-78.82653,
42.95508,-78.82654,
42.95509,-78.82655,
42.9551,-78.82656,
42.95511,-78.82657,
42.95512,-78.82658,
42.95513,-78.82658,
42.95514,-78.82659,
42.95515,-78.82661,
42.95516,-78.82661,
42.95517,-78.82662,
42.95518,-78.82663,
42.95519,-78.82664,
42.9552,-78.82664,
42.95521,-78.82665,
42.95522,-78.82666,
42.95523,-78.82667,
42.95524,-78.82667,
42.95525,-78.82668,
42.95526,-78.82669,
42.95527,-78.82671,
42.95528,-78.82671,
42.95529,-78.82672,
42.9553,-78.82673,
42.95531,-78.82674,
42.95532,-78.82675,
42.95533,-78.82676,
42.95533,-78.82677,
42.95533,-78.82678,
42.95534,-78.82679,
42.95535,-78.82681,
42.95536,-78.82682,
42.95536,-78.82683,
42.95537,-78.82684,
42.95538,-78.82685,
42.95539,-78.82686,
42.9554,-78.82687,
42.9554,-78.82688,
42.95541,-78.82689,
42.95542,-78.8269,
42.95542,-78.8269,
42.95543,-78.82691,
42.95544,-78.82692,
42.95545,-78.82693,
42.95546,-78.82694,
42.95548,-78.82694,
42.95549,-78.82694,
42.95551,-78.82695,
42.95552,-78.82695,
42.95553,-78.82695,
42.95554,-78.82696,
42.95555,-78.82695,
42.95556,-78.82695,
42.95557,-78.82696,
42.95558,-78.82697,
42.95559,-78.82699,
42.9556,-78.827,
42.95561,-78.82702,
42.95562,-78.82704,
42.95564,-78.82705,
42.95565,-78.82706,
42.95567,-78.82707,
42.95568,-78.82709,
42.95569,-78.82711,
42.95569,-78.82712,
42.9557,-78.82713,
42.95571,-78.82714,
42.95572,-78.82715,
42.95573,-78.82716,
42.95574,-78.82717,
42.95574,-78.82718,
42.95575,-78.8272,
42.95575,-78.82721,
42.95576,-78.82721,
42.95576,-78.82722,
42.95577,-78.82724,
42.95578,-78.82725,
42.95578,-78.82727,
42.9558,-78.82728,
42.95581,-78.82729,
42.95582,-78.8273,
42.95582,-78.82731,
42.95583,-78.82732,
42.95583,-78.82733,
42.95584,-78.82733,
42.95585,-78.82734,
42.95586,-78.82735,
42.95587,-78.82736,
42.95587,-78.82737,
42.95588,-78.82738,
42.95588,-78.82739,
42.95589,-78.82739,
42.9559,-78.8274,
42.95591,-78.8274,
42.95591,-78.82741,
42.95592,-78.82741,
42.95593,-78.82742,
42.95594,-78.82743,
42.95595,-78.82745,
42.95596,-78.82746,
42.95597,-78.82746,
42.95599,-78.82746,
42.956,-78.82747,
42.95602,-78.82747,
42.95603,-78.82747,
42.95605,-78.82748,
42.95605,-78.82748,
42.95607,-78.82749,
42.95608,-78.8275,
42.95609,-78.82751,
42.95611,-78.82752,
42.95612,-78.82753,
42.95613,-78.82754,
42.95614,-78.82756,
42.95614,-78.82756,
42.95614,-78.82757,
42.95613,-78.82757,
42.95613,-78.82757,
42.95614,-78.82757,
42.95614,-78.82757,
42.95614,-78.82758,
42.95613,-78.82759,
42.95613,-78.82761,
42.95612,-78.82763,
42.95612,-78.82764,
42.95611,-78.82766,
42.95609,-78.82768,
42.95606,-78.82769,
42.95604,-78.8277,
42.95602,-78.82772,
42.956,-78.82772,
42.95599,-78.82773,
42.95599,-78.82773,
42.95598,-78.82774,
42.95598,-78.82774,
42.95596,-78.82774,
42.95596,-78.82774,
42.95596,-78.82775,
42.95595,-78.82775,
42.95595,-78.82777,
42.95595,-78.82777,
42.95594,-78.82778,
42.95593,-78.82779,
42.95592,-78.8278,
42.95591,-78.82781,
42.9559,-78.82782,
42.95589,-78.82783,
42.95589,-78.82784,
42.95588,-78.82785,
42.95588,-78.82787,
42.95588,-78.82788,
42.95588,-78.82788,
42.95587,-78.8279,
42.95587,-78.82791,
42.95586,-78.82793,
42.95585,-78.82794,
42.95584,-78.82796,
42.95583,-78.82797,
42.95583,-78.82798,
42.95583,-78.828,
42.95582,-78.82802,
42.95582,-78.82803,
42.95581,-78.82804,
42.9558,-78.82806,
42.95579,-78.82807,
42.95577,-78.82807,
42.95576,-78.82808,
42.95575,-78.82809,
42.95575,-78.82809,
42.95577,-78.82809,
42.95577,-78.8281,
42.95577,-78.82811,
42.95576,-78.82812,
42.95576,-78.82814,
42.95576,-78.82814,
42.95576,-78.82813,
42.95576,-78.82814,
42.95575,-78.82815,
42.95574,-78.82816,
42.95573,-78.82817,
42.95572,-78.82817,
42.95571,-78.82818,
42.95571,-78.82819,
42.95569,-78.8282,
42.95569,-78.82822,
42.95569,-78.82824,
42.95568,-78.82825,
42.95568,-78.82827,
42.95567,-78.82828,
42.95566,-78.82829,
42.95566,-78.8283,
42.95566,-78.82832,
42.95565,-78.82833,
42.95565,-78.82833,
42.95565,-78.82834,
42.95565,-78.82835,
42.95564,-78.82837,
42.95562,-78.82838,
42.95561,-78.82839,
42.9556,-78.8284,
42.9556,-78.82841,
42.9556,-78.82842,
42.9556,-78.82843,
42.95559,-78.82843,
42.95559,-78.82843,
42.95558,-78.82844,
42.95557,-78.82845,
42.95556,-78.82846,
42.95555,-78.82847,
42.95554,-78.82848,
42.95553,-78.8285,
42.95553,-78.82851,
42.95552,-78.82852,
42.95552,-78.82854,
42.95551,-78.82855,
42.9555,-78.82855,
42.95549,-78.82855,
42.95548,-78.82856,
42.95547,-78.82857,
42.95547,-78.82858,
42.95547,-78.82858,
42.95546,-78.82859,
42.95545,-78.82859,
42.95544,-78.82859,
42.95542,-78.8286,
42.9554,-78.82861,
42.9554,-78.82862,
42.9554,-78.82863,
42.95538,-78.82864,
42.95538,-78.82864,
42.95538,-78.82865,
42.95537,-78.82866,
42.95536,-78.82867,
42.95535,-78.82867,
42.95534,-78.82868,
42.95533,-78.82867,
42.95532,-78.82868,
42.95532,-78.82868,
42.95531,-78.82869,
42.9553,-78.8287,
42.95529,-78.8287,
42.95527,-78.8287,
42.95526,-78.8287,
42.95524,-78.8287,
42.95523,-78.8287,
42.95523,-78.8287,
42.95522,-78.8287,
42.95521,-78.82869,
42.9552,-78.82867,
42.9552,-78.82866,
42.95519,-78.82865,
42.95518,-78.82864,
42.95518,-78.82863,
42.95517,-78.82862,
42.95517,-78.82861,
42.95517,-78.8286,
42.95516,-78.82859,
42.95516,-78.82858,
42.95515,-78.82857,
42.95514,-78.82855,
42.95513,-78.82854,
42.95513,-78.82852,
42.95513,-78.82851,
42.95512,-78.8285,
42.95511,-78.82848,
42.95511,-78.82847,
42.9551,-78.82846,
42.95509,-78.82844,
42.95508,-78.82843,
42.95508,-78.82842,
42.95508,-78.82841,
42.95507,-78.8284,
42.95506,-78.82839,
42.95506,-78.82838,
42.95506,-78.82838,
42.95505,-78.82837,
